score, participants, totalProposals, candidateProposals, activeProposals, completedProposals, failedProposals, hatchers, proposals, commonTribute, maxSpending, customDays, exitTribute
608,53, 306, 1, 1, 139, 165,33, 35, 71, 43, 91, 90
789,43, 287, 2, 3, 141, 141,33, 35, 71, 43, 72, 90
612,45, 315, 0, 2, 143, 170,33, 35, 71, 43, 76, 90
789,43, 287, 2, 3, 141, 141,33, 35, 71, 43, 70, 90
789,43, 287, 2, 3, 141, 141,33, 35, 71, 43, 74, 90
605,44, 339, 1, 3, 152, 183,33, 35, 71, 43, 95, 90
608,53, 306, 1, 1, 139, 165,33, 35, 71, 43, 89, 90
751,45, 321, 1, 1, 161, 158,33, 35, 71, 43, 75, 90
649,47, 294, 1, 4, 141, 148,33, 35, 71, 43, 79, 90
676,44, 319, 1, 1, 152, 165,33, 35, 71, 43, 81, 90
762,46, 290, 0, 1, 139, 150,33, 35, 71, 43, 78, 90
963,53, 337, 1, 2, 174, 160,33, 35, 71, 46, 84, 90
963,53, 337, 1, 2, 174, 160,33, 35, 71, 41, 84, 90
963,53, 337, 1, 2, 174, 160,33, 35, 71, 40, 84, 90
963,53, 337, 1, 2, 174, 160,33, 35, 71, 45, 84, 90
963,53, 337, 1, 2, 174, 160,33, 35, 71, 39, 84, 90
963,53, 337, 1, 2, 174, 160,33, 35, 71, 48, 84, 90
963,53, 337, 1, 2, 174, 160,33, 35, 71, 37, 84, 90
963,53, 337, 1, 2, 174, 160,33, 35, 71, 49, 84, 90
571,43, 271, 0, 2, 135, 134,33, 35, 71, 50, 84, 90
963,53, 337, 1, 2, 174, 160,33, 35, 71, 35, 84, 90
963,53, 337, 1, 2, 174, 160,33, 35, 71, 42, 84, 90
963,53, 337, 1, 2, 174, 160,33, 35, 71, 39, 84, 90
963,53, 337, 1, 2, 174, 160,33, 35, 71, 42, 84, 90
963,53, 337, 1, 2, 174, 160,33, 35, 71, 41, 84, 90
963,53, 337, 1, 2, 174, 160,33, 35, 71, 43, 84, 90
963,53, 337, 1, 2, 174, 160,33, 35, 71, 35, 84, 90
571,43, 271, 0, 2, 135, 134,33, 35, 71, 50, 84, 90
963,53, 337, 1, 2, 174, 160,33, 35, 71, 49, 84, 90
963,53, 337, 1, 2, 174, 160,33, 35, 71, 36, 84, 90
963,53, 337, 1, 2, 174, 160,33, 35, 71, 37, 84, 90
963,53, 337, 1, 2, 174, 160,33, 35, 71, 40, 84, 90
963,53, 337, 1, 2, 174, 160,33, 35, 71, 44, 84, 90
963,53, 337, 1, 2, 174, 160,33, 35, 71, 48, 84, 90
963,53, 337, 1, 2, 174, 160,33, 35, 71, 38, 84, 90
963,53, 337, 1, 2, 174, 160,33, 35, 71, 45, 84, 90
963,53, 337, 1, 2, 174, 160,33, 35, 71, 47, 84, 90
963,53, 337, 1, 2, 174, 160,33, 35, 71, 46, 84, 90
871,53, 288, 1, 0, 154, 133,33, 20, 71, 43, 84, 90
564,40, 325, 1, 2, 145, 177,33, 31, 71, 43, 84, 90
710,37, 293, 1, 1, 145, 146,33, 26, 71, 43, 84, 90
669,43, 312, 1, 0, 142, 169,33, 37, 71, 43, 84, 90
761,47, 304, 0, 1, 144, 159,33, 36, 71, 43, 84, 90
766,47, 286, 0, 1, 140, 145,33, 23, 71, 43, 84, 90
756,48, 323, 1, 1, 171, 150,33, 33, 71, 43, 84, 90
583,44, 283, 1, 3, 125, 154,33, 22, 71, 43, 84, 90
851,53, 313, 1, 2, 164, 146,33, 32, 71, 43, 84, 90
743,49, 294, 1, 2, 143, 148,33, 25, 71, 43, 84, 90
509,34, 290, 4, 2, 128, 156,33, 29, 71, 43, 84, 90
801,49, 291, 1, 2, 149, 139,33, 34, 71, 43, 84, 90
727,53, 298, 1, 1, 152, 144,33, 38, 71, 43, 84, 90
872,48, 284, 0, 0, 148, 136,33, 24, 71, 43, 84, 90
823,52, 309, 1, 3, 154, 151,33, 30, 71, 43, 84, 90
705,48, 308, 2, 1, 146, 159,33, 28, 71, 43, 84, 90
754,50, 320, 1, 0, 155, 164,33, 27, 71, 43, 84, 90
777,49, 273, 0, 4, 138, 131,33, 21, 71, 43, 84, 90
705,46, 301, 2, 0, 152, 147,33, 40, 71, 43, 84, 90
788,47, 304, 0, 1, 158, 145,33, 39, 71, 43, 84, 90
963,53, 337, 1, 2, 174, 160,33, 35, 71, 43, 84, 90
597,42, 311, 0, 0, 144, 167,37, 35, 71, 43, 84, 90
724,43, 294, 1, 0, 144, 149,26, 35, 71, 43, 84, 90
724,43, 294, 1, 0, 144, 149,29, 35, 71, 43, 84, 90
600,38, 311, 2, 1, 143, 165,31, 35, 71, 43, 84, 90
593,39, 304, 0, 2, 138, 164,32, 35, 71, 43, 84, 90
512,57, 291, 4, 1, 131, 155,45, 35, 71, 43, 84, 90
836,48, 337, 1, 3, 181, 152,34, 35, 71, 43, 84, 90
753,64, 298, 1, 1, 151, 145,48, 35, 71, 43, 84, 90
724,43, 294, 1, 0, 144, 149,30, 35, 71, 43, 84, 90
707,63, 290, 0, 1, 146, 143,44, 35, 71, 43, 84, 90
616,52, 287, 2, 2, 134, 149,46, 35, 71, 43, 84, 90
642,54, 328, 0, 1, 151, 176,42, 35, 71, 43, 84, 90
731,49, 307, 2, 2, 145, 158,36, 35, 71, 43, 84, 90
554,62, 293, 1, 0, 140, 152,49, 35, 71, 43, 84, 90
647,57, 306, 0, 2, 151, 153,47, 35, 71, 43, 84, 90
664,61, 318, 2, 0, 163, 153,50, 35, 71, 43, 84, 90
